part_order,part_slug,part_title,visual_id,visual_title,visual_page_url,visual_download_url,visual_license,alt_text
1,w01-cli-logger-discipline,CLI & Logger Discipline,flow-while-loop,While loop flowchart,https://commons.wikimedia.org/wiki/File:While-loop-diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/While-loop-diagram.svg,CC0 1.0 (public domain dedication),"Flowchart of a while loop: check condition, execute body, repeat."
2,w02-tcp-echo-server-with-stream-safe-framing,TCP Echo Server with Stream-Safe Framing,tcp-transfer,TCP transfer / segmentation & reassembly,https://commons.wikimedia.org/wiki/File:Tcp_transfer.png,https://commons.wikimedia.org/wiki/Special:FilePath/Tcp_transfer.png,CC BY-SA 3.0 or GFDL (dual-licensed),Diagram showing TCP data split into segments and reassembled at receiver.
3,w03-multi-client-event-loop,Multi-Client Event Loop,fd-file-inode-table,File descriptors → file table → inode table,https://commons.wikimedia.org/wiki/File:File_table_and_inode_table.svg,https://commons.wikimedia.org/wiki/Special:FilePath/File_table_and_inode_table.svg,See file page (Wikimedia Commons),Unix diagram mapping file descriptors to file table entries and inodes.
4,w04-epoll-http-client,Epoll & HTTP Client,http-transaction,Simplified HTTP transaction,https://commons.wikimedia.org/wiki/File:Simplified_diagram_of_an_HTTP_transaction.png,https://commons.wikimedia.org/wiki/Special:FilePath/Simplified_diagram_of_an_HTTP_transaction.png,CC BY-SA 4.0,Client sends HTTP request to server and receives response.
5,w05-thread-pool-safe-task-execution,Thread Pool & Safe Task Execution,thread-pool,Thread pool with task queue,https://commons.wikimedia.org/wiki/File:Thread_pool.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Thread_pool.svg,CC BY-SA 3.0 or GFDL (dual-licensed),A thread pool where tasks queue up and threads execute tasks.
6,w06-backpressure-overload-handling,Backpressure & Overload Handling,token-bucket,Token bucket (QoS policing),https://commons.wikimedia.org/wiki/File:QoS_tocken_bucket.svg,https://commons.wikimedia.org/wiki/Special:FilePath/QoS_tocken_bucket.svg,See file page (Wikimedia Commons),Token bucket with tokens arriving and packets passing when enough tokens exist.
7,w07-hashing-integrity-proofs,Hashing & Integrity Proofs,crypto-hash,Cryptographic hash function,https://commons.wikimedia.org/wiki/File:Cryptographic_Hash_Function.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Cryptographic_Hash_Function.svg,Public domain,Hash function maps input message to fixed-length digest; small input change changes digest.
8,w08-signatures-replay-protection,Signatures & Replay Protection,digital-signature,Digital signature: sign & verify,https://commons.wikimedia.org/wiki/File:Digital_Signature_diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/Digital_Signature_diagram.svg,CC BY-SA 3.0 or GFDL (dual-licensed),Sender signs a hash with private key; verifier checks with public key.
9,w09-kv-store-core-state-model,KV Store Core & State Model,custom-event-loop,Custom: event loop / readiness-based I/O,,,You create this (recommended),"Event loop: wait for readiness, handle events, repeat."
10,w10-wal-durability-crash-recovery,WAL Durability & Crash Recovery,custom-wal,Custom: write-ahead log + checkpoint,,,You create this (recommended),Append log before applying state; checkpoint to compact; recover by replay.
