lesson_id,lesson_title,part_slug,part_title,lesson_order,visual_id,visual_title,visual_page_url,visual_download_url,visual_license,alt_text,note
w01-cli-logger-discipline-d01-quest-define-your-cli-contract-2h,Quest: Define Your CLI Contract  2h,w01-cli-logger-discipline,CLI & Logger Discipline,1,flow-while-loop,While loop flowchart,https://commons.wikimedia.org/wiki/File:While-loop-diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/While-loop-diagram.svg,CC0 1.0 (public domain dedication),"Flowchart of a while loop: check condition, execute body, repeat.",Wikimedia Commons
w01-cli-logger-discipline-d02-quest-logger-write-path-2h,Quest: Logger Write Path  2h,w01-cli-logger-discipline,CLI & Logger Discipline,2,flow-while-loop,While loop flowchart,https://commons.wikimedia.org/wiki/File:While-loop-diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/While-loop-diagram.svg,CC0 1.0 (public domain dedication),"Flowchart of a while loop: check condition, execute body, repeat.",Wikimedia Commons
w01-cli-logger-discipline-d03-quest-validation-boundaries-2h,Quest: Validation Boundaries  2h,w01-cli-logger-discipline,CLI & Logger Discipline,3,flow-while-loop,While loop flowchart,https://commons.wikimedia.org/wiki/File:While-loop-diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/While-loop-diagram.svg,CC0 1.0 (public domain dedication),"Flowchart of a while loop: check condition, execute body, repeat.",Wikimedia Commons
w01-cli-logger-discipline-d04-quest-error-catalog-2h,Quest: Error Catalog  2h,w01-cli-logger-discipline,CLI & Logger Discipline,4,flow-while-loop,While loop flowchart,https://commons.wikimedia.org/wiki/File:While-loop-diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/While-loop-diagram.svg,CC0 1.0 (public domain dedication),"Flowchart of a while loop: check condition, execute body, repeat.",Wikimedia Commons
w01-cli-logger-discipline-d05-quest-test-plan-design-2h,Quest: Test Plan Design  2h,w01-cli-logger-discipline,CLI & Logger Discipline,5,flow-while-loop,While loop flowchart,https://commons.wikimedia.org/wiki/File:While-loop-diagram.svg,https://commons.wikimedia.org/wiki/Special:FilePath/While-loop-diagram.svg,CC0 1.0 (public domain dedication),"Flowchart of a while loop: check condition, execute body, repeat.",Wikimedia Commons
w02-tcp-echo-server-with-stream-safe-framing-d01-quest-tcp-lifecycle-spec-2h,Quest: TCP Lifecycle Spec  2h,w02-tcp-echo-server-with-stream-safe-framing,TCP Echo Server with Stream-Safe Framing,1,tcp-transfer,TCP transfer / segmentation & reassembly,https://commons.wikimedia.org/wiki/File:Tcp_transfer.png,https://commons.wikimedia.org/wiki/Special:FilePath/Tcp_transfer.png,CC BY-SA 3.0 or GFDL (dual-licensed),Diagram showing TCP data split into segments and reassembled at receiver.,Wikimedia Commons
w02-tcp-echo-server-with-stream-safe-framing-d02-quest-partial-io-mastery-2h,Quest: Partial I/O Mastery  2h,w02-tcp-echo-server-with-stream-safe-framing,TCP Echo Server with Stream-Safe Framing,2,tcp-transfer,TCP transfer / segmentation & reassembly,https://commons.wikimedia.org/wiki/File:Tcp_transfer.png,https://commons.wikimedia.org/wiki/Special:FilePath/Tcp_transfer.png,CC BY-SA 3.0 or GFDL (dual-licensed),Diagram showing TCP data split into segments and reassembled at receiver.,Wikimedia Commons
w02-tcp-echo-server-with-stream-safe-framing-d03-quest-frame-parser-2h,Quest: Frame Parser  2h,w02-tcp-echo-server-with-stream-safe-framing,TCP Echo Server with Stream-Safe Framing,3,tcp-transfer,TCP transfer / segmentation & reassembly,https://commons.wikimedia.org/wiki/File:Tcp_transfer.png,https://commons.wikimedia.org/wiki/Special:FilePath/Tcp_transfer.png,CC BY-SA 3.0 or GFDL (dual-licensed),Diagram showing TCP data split into segments and reassembled at receiver.,Wikimedia Commons
w02-tcp-echo-server-with-stream-safe-framing-d04-quest-timeout-policy-2h,Quest: Timeout Policy  2h,w02-tcp-echo-server-with-stream-safe-framing,TCP Echo Server with Stream-Safe Framing,4,tcp-transfer,TCP transfer / segmentation & reassembly,https://commons.wikimedia.org/wiki/File:Tcp_transfer.png,https://commons.wikimedia.org/wiki/Special:FilePath/Tcp_transfer.png,CC BY-SA 3.0 or GFDL (dual-licensed),Diagram showing TCP data split into segments and reassembled at receiver.,Wikimedia Commons
w02-tcp-echo-server-with-stream-safe-framing-d05-quest-client-retry-rules-2h,Quest: Client Retry Rules  2h,w02-tcp-echo-server-with-stream-safe-framing,TCP Echo Server with Stream-Safe Framing,5,tcp-transfer,TCP transfer / segmentation & reassembly,https://commons.wikimedia.org/wiki/File:Tcp_transfer.png,https://commons.wikimedia.org/wiki/Special:FilePath/Tcp_transfer.png,CC BY-SA 3.0 or GFDL (dual-licensed),Diagram showing TCP data split into segments and reassembled at receiver.,Wikimedia Commons
